	Log2.Ratio.H.L.normalized.SNA.vs.Sham_Rep1	Log2.Ratio.H.L.normalized.SNA.vs.Sham_Rep2	Log2.Ratio.H.L.normalized.SNA.vs.Sham_Rep3	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep1	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep2	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep3	Log2.Ratio.H.L.normalized.Central.vs.Peripheral_Rep1	Log2.Ratio.H.L.normalized.Central.vs.Peripheral_Rep2	Log2.Ratio.H.L.normalized.Central.vs.Peripheral_Rep3
Gnai3	-0.441046698	-0.036082038	-0.006216965	NA	1.168321116	0.075464174	NA	-1.946304751	-1.487419121
Apoh	0.598365205	1.457174003	0.656542133	0.227987459	0.141040345	0.094776557	0.749491362	0.216485907	-0.094187019
Cav2	-0.562218304	-0.188085132	0.451013243	-0.409929793	-0.257528061	-0.610697523	0.125651102	0.684998222	0.271067049
Actr2	-0.914140289	-0.031297269	-0.045476095	0.204891925	1.724257351	-0.352842088	-0.145956463	-0.284475585	0.095451881
Gna12	-1.667125969	NA	NA	0.712375673	1.570511506	0.020199923	1.744074962	1.682483407	-0.277988715
Ncs1	0.169540231	0.094371211	-0.392648379	NA	0.476951913	NA	-0.888514577	0.006764782	-0.147266015
Th	0.782827892	1.10057404	0.565792121	NA	NA	NA	-2.425539983	-2.590310372	-2.340440727
Gmpr	-0.034263729	0.01948843	-0.619647341	-0.572994628	0.459851251	0.121811151	-2.280124407	-4.887302536	-4.232375708
Scpep1	NA	NA	NA	NA	NA	NA	NA	-0.849726291	NA
Itgb2	NA	-0.389621202	NA	NA	NA	NA	NA	NA	NA
Hddc2	NA	NA	NA	NA	NA	NA	NA	-0.790484249	NA
Cdh1	-0.007608604	0.835034744	0.747945893	0.119688175	0.052137623	0.201508404	1.906890596	1.515762906	1.530520266
Ckmt1	NA	0.585058677	NA	0.309758271	0.111298453	0.266396773	2.387665828	3.174454358	NA
Comt	-0.489503868	-0.673324602	-0.497771251	NA	-0.58716429	-0.310021032	-2.006535764	-0.343384649	-0.845857534
Rtca	-0.631488649	-0.297377915	-0.365797079	-0.413730048	-0.631064068	0.000721167	-0.418542694	-0.166680785	-0.208027606
Dbt	-1.080850637	NA	NA	0.679243619	0.508428653	0.187514398	NA	1.097543379	4.693208149
Mcts1	-0.14710625	0.101515615	0.220329955	0.119820952	0.139862368	0.187514398	0.477988108	0.799584701	0.850719427
Fap	-0.002050083	NA	NA	NA	NA	NA	NA	NA	NA
Serpinb8	0.312084262	0.545671894	-0.669189222	NA	NA	NA	NA	NA	NA
Rdx	0.093560176	0.381061828	0.339365461	1.075806426	0.294664856	0.933950258	0.466548817	0.732920382	0.794020696
Gm2a	1.216175457	NA	NA	-0.229450008	-0.387789065	0.202511756	NA	NA	NA
Hk2	NA	-6.248573986	NA	NA	-4.771145608	NA	NA	NA	NA
Myo18a	-0.804904423	-0.845572332	-0.226071171	NA	0.040682059	0.108892402	-0.492565603	0.09328973	-0.303276119
Loxl3	0.214746523	0.790021308	NA	NA	-0.341244681	0.277865757	NA	NA	0.127104965
Rab5b	0.067501049	0.01649632	0.219958398	-0.33706536	-0.264997807	-0.045118805	NA	1.096936483	-1.125824697
