,sham.pval,sham.fdr,sna.pval,sna.fdr,sna.log2Ratio.fwd,sna.log2Ratio.rev,sham.log2Ratio.fwd,sham.log2Ratio.rev,sna.mean,sham.mean
Ahnak,4.30190711078446e-16,1.41532743944809e-13,1.47808117717284e-27,4.61161327277927e-25,8.313064415,8.494024543,7.857483428,5.722876963,8.403544479,6.7901801955
Ahnak2,7.71574633988435e-05,0.00050769610916439,0.0066982761513562,0.0158579574495174,1.663663412,1.79816543,2.355495579,2.410581651,1.730914421,2.383038615
Anxa2,0.000237419697797749,0.0011835012208403,0.0077716060643546,0.0173195792291331,1.419808529,1.956291542,2.155813984,2.011529802,1.6880500355,2.083671893
Ap2m1,0.00121181848786732,0.0036576906652142,0.0113166608596206,0.0226333217192413,NA,1.576131437,1.606015753,NA,1.576131437,1.606015753
Cnp,0.00134764638205686,0.00392367840439563,0.0144258149978889,0.0279556166418717,1.586500555,1.415268349,1.729835517,1.415576206,1.500884452,1.5727058615
Cpsf1,7.07040673923346e-05,0.000474727309634246,5.12382485455846e-05,0.000205230630208537,2.628633634,3.091725082,2.330787836,2.480115955,2.860179358,2.4054518955
Crmp1,7.19018347606619e-06,9.09834755240684e-05,4.1204153938206e-09,7.56217413454134e-08,4.499654578,4.226746306,2.866650861,3.045252778,4.363200442,2.9559518195
FAM120A,0.0012038611274643,0.0036576906652142,0.0230945773544065,0.0417329357208368,1.491083454,1.203734511,1.747172537,1.468970444,1.3474089825,1.6080714905
Fxr1,0.00433380526873105,0.00914820764580089,0.0145557685775925,0.0280333320753633,NA,1.498056477,1.082021269,1.286444943,1.498056477,1.184233106
Fxr2,0.0051012496793601,0.0101707639417715,0.00874434878580586,0.0187082588823953,NA,1.653491231,1.12631213,NA,1.653491231,1.12631213
G3bp2,0.00496175761804762,0.010014835928452,0.00397935230802801,0.0100939668301198,1.784252693,1.966799036,1.541118304,0.731350027,1.8755258645,1.1362341655
Gm9493,0.00030562882881181,0.00141622372787444,0.00995003366653545,0.0205427818936201,1.390777727,1.83933792,2.070354978,1.956347529,1.6150578235,2.0133512535
Gphn,1.31802941178964e-05,0.00013539212591138,1.37746721749379e-05,6.2285474182328e-05,3.275781841,2.937657202,2.854813541,2.777541628,3.1067195215,2.8161775845
Hist2h4,0.000440743459238371,0.00180946562546855,0.0128792244426109,0.0252724404156894,1.480988873,1.591701173,2.420886575,1.397486109,1.536345023,1.909186342
Hnrnpd,0.00126181117128328,0.00373996284101079,0.00667259229096175,0.0158579574495174,1.49015934,1.973865681,1.064951812,2.121800441,1.7320125105,1.5933761265
Hspa4,4.54715854710459e-05,0.000356194086189859,6.67443602290135e-07,4.62760897587827e-06,3.908620792,3.331452398,1.867856938,3.166178862,3.620036595,2.5170179
Hspa8,0.00107159217025587,0.0033808471245596,0.0126225833227318,0.0249256075740021,1.46894818,1.616215541,1.68513282,1.603270562,1.5425818605,1.644201691
Idh3b,0.0126957180922277,0.0210954103653682,0.00720067389944698,0.0163986150118792,1.797967539,1.622332045,0.781401682,NA,1.710149792,0.781401682
Pabpc1,0.00241834319312392,0.00604133571662309,0.00670913584402657,0.0158579574495174,1.68212379,1.778778698,1.531518705,1.235789746,1.730451244,1.3836542255
Ppap2b,6.29312128252503e-08,2.58804612743842e-06,7.43839462675034e-08,6.44660867651696e-07,5.384913231,2.526493604,4.304511042,3.565810018,3.9557034175,3.93516053
Prkaa1,6.58265319305382e-06,9.02372041881128e-05,6.91224466777468e-09,9.80281971066227e-08,5.112491636,3.473258088,2.823871617,3.128093284,4.292874862,2.9759824505
Prkaa2,3.01749667977446e-07,8.4465858628562e-06,3.77148723683922e-08,3.67720005591824e-07,3.766807151,4.342444135,3.990864122,3.269929627,4.054625643,3.6303968745
Prkab1,0.000201322451161354,0.00103492322550134,0.00018675851895593,0.000619879339513299,3.52656966,1.67134733,1.160016608,3.097887821,2.598958495,2.1289522145
Prkab2,1.68769552470668e-08,7.93216896612142e-07,7.1366701143755e-11,3.71106845947526e-09,5.446984012,4.318584919,4.170325694,4.188127866,4.8827844655,4.17922678
Prkag1,3.66743275456343e-09,2.01097562708562e-07,1.17115224278683e-10,4.265395836268e-09,5.22808754,4.416022715,5.144454314,3.756584388,4.8220551275,4.450519351
Prkag2,6.12699664391285e-06,8.76426911237968e-05,8.41173018150544e-09,1.14106948549117e-07,5.172487516,3.359342057,2.921531542,3.062866566,4.2659147865,2.992199054
Psmc1,2.67128286622789e-06,5.02877647940235e-05,1.3671140500859e-10,4.265395836268e-09,5.819872517,3.786014496,3.594667973,2.757598708,4.8029435065,3.1761333405
Psmc2,8.79840086853995e-11,1.44733694287482e-08,2.93046202811714e-16,4.57152076386273e-14,6.275714808,6.176576709,4.485813212,5.651957988,6.2261457585,5.0688856
Psmc3,2.1511830950026e-09,1.76934809563964e-07,5.2157409041368e-06,2.6677232165421e-05,2.503323291,4.054428252,5.390702074,3.694545382,3.2788757715,4.542623728
Psmc4,1.66979534281275e-10,1.83120889261798e-08,1.0244805109585e-10,4.265395836268e-09,3.873321063,5.803735416,5.736415462,4.196911866,4.8385282395,4.966663664
Psmc5,3.09628477418313e-07,8.4465858628562e-06,1.07949341796044e-08,1.29539210155253e-07,5.300709472,3.162169757,4.389566812,2.860923485,4.2314396145,3.6252451485
Psmc6,3.69728654103423e-06,6.0820363600013e-05,7.20983596156675e-10,1.73036063077602e-08,4.625445847,4.560574731,3.113667165,3.096159598,4.593010289,3.1049133815
