,sham.pval,sham.fdr,sna.pval,sna.fdr,sna.log2Ratio.fwd,sna.log2Ratio.rev,sham.log2Ratio.fwd,sham.log2Ratio.rev,sna.mean,sham.mean
Eif4a1,NA,NA,0.0268726405702876,0.0471026059434254,NA,1.295588355,NA,NA,1.295588355,NA
fasta:Igkv2-137,0.737812799146029,0.80377619509617,5.29843555888467e-05,0.000206638986796502,0.878136767,4.829182727,-3.357551644,1.613343538,2.853659747,-0.872104053
Flnb,NA,NA,0.00915262404078159,0.0191652261793547,NA,1.639984148,NA,NA,1.639984148,NA
LLRep3,NA,NA,0.00819853710128495,0.0180136871521191,1.750349241,1.594530372,NA,NA,1.6724398065,NA
Pcbp2,NA,NA,0.0159341752016338,0.0303137967250595,1.358339994,1.580310105,NA,NA,1.4693250495,NA
Pygm,0.872981205342549,0.920547488966982,0.0022123295301296,0.00595040356379686,2.029417547,NA,-0.350872036,NA,2.029417547,-0.350872036
Rbfox3,NA,NA,0.00140296748408919,0.0040158335324388,2.077619008,2.208494292,NA,NA,2.14305665,NA
Sf3b1,NA,NA,0.0153027360642509,0.0292911266996705,NA,1.48221032,NA,NA,1.48221032,NA
Actn4,0.00414878474174421,0.00892124300675715,NA,NA,NA,NA,1.199562421,NA,NA,1.199562421
Adrm1,4.06474333453944e-06,6.36809789077845e-05,NA,NA,NA,NA,3.083962184,NA,NA,3.083962184
Alb,0.00703400266549841,0.0130745021296552,0.614245280256813,0.614245280256813,-0.001645611,-0.028710586,0.626672753,1.39145567,-0.0151780985,1.0090642115
Aldoa,0.00234786280439276,0.00594189894342476,0.308663868484527,0.350136825384848,NA,0.152211498,NA,1.393463017,0.152211498,1.393463017
Atp5c1,0.00315428798888114,0.0072839496232652,0.119855120592396,0.162586076629686,0.653426952,0.732691935,1.235972083,1.352584171,0.6930594435,1.294278127
Cct2,0.0132718074761422,0.021723505769407,NA,NA,NA,NA,0.763581543,NA,NA,0.763581543
Cct3,0.0175849732926311,0.0269090986663984,0.0666711667175968,0.100977689397525,NA,0.953327348,NA,0.647987305,0.953327348,0.647987305
Cct6a,0.00316925894501441,0.0072839496232652,0.117561382788961,0.160170966943912,0.70230292,NA,1.292663973,NA,0.70230292,1.292663973
Cct8,0.008844940368893,0.015988930666845,NA,NA,NA,NA,0.922730672,NA,NA,0.922730672
Col1a2,0.0239043866242521,0.034798863714066,0.0321430943979119,0.0557146969563806,-1.981878622,-1.473371314,0.418675713,0.613917481,-1.727624968,0.516296597
Col6a1,0.035788344046313,0.0490598549634875,0.0164913770525527,0.0309958412072075,-1.967870938,-1.938737446,0.332965663,NA,-1.953304192,0.332965663
Col6a3,0.00140267221918515,0.00397826862165443,NA,NA,NA,NA,1.56007905,NA,NA,1.56007905
Cpne6,1.46848466425044e-05,0.000138037558439541,NA,NA,NA,NA,2.790813734,NA,NA,2.790813734
Cpsf2,0.0043709066259843,0.00915941579585245,NA,NA,NA,NA,1.181229795,NA,NA,1.181229795
Cpsf3,2.82121319922859e-06,5.02877647940235e-05,NA,NA,NA,NA,NA,3.164237581,NA,3.164237581
Cstf3,0.0180309784032127,0.0272118894250321,NA,NA,NA,NA,0.63747114,NA,NA,0.63747114
Dcn,0.0136828533075847,0.0221756588088441,0.411137837620784,0.433361504519205,-0.427187924,NA,NA,0.751270875,-0.427187924,0.751270875
Ddx3y,0.00338363536240098,0.00763727948255087,0.053786972156437,0.0847552288525674,1.039840265,NA,1.871883066,0.668661666,1.039840265,1.270272366
Dpysl2,0.00259320468865702,0.00627326722476588,0.0782275250370591,0.115127300997936,0.666574824,1.105752638,1.186246986,1.534537424,0.886163731,1.360392205
Dsp,0.00442521842637426,0.00921453710301982,0.0131383122655048,0.0256197089177343,-2.025147677,NA,1.937344392,0.416403897,-2.025147677,1.1768741445
Dync1h1,0.0280007214761494,0.0400532059376224,0.371308645494639,0.396740744501122,0.015212085,NA,0.096396804,0.79545859,0.015212085,0.445927697
Eef1a1,0.00899904830346441,0.0161786168952994,0.570320180453092,0.579608782740602,-1.189614482,0.978122343,0.881821213,0.95042499,-0.1057460695,0.9161231015
Eef1a2,0.0086834448994035,0.0158714076216875,0.101756909766491,0.141732838603326,0.601030869,0.938514098,0.99653337,0.862994948,0.7697724835,0.929764159
EG433182,0.00402240402268042,0.00870638765435432,0.34765051629438,0.383275480861648,-0.037162282,0.168836178,1.210388864,NA,0.065836948,1.210388864
Elavl2,0.0173922830105299,0.0267386033199267,0.0655294873734321,0.099732683222004,0.960437572,NA,0.652601218,NA,0.960437572,0.652601218
Epb4.1l2,2.75977793843612e-05,0.000236687350895778,0.0760590119442211,0.112466406287189,1.038646881,0.757671884,NA,2.639984148,0.8981593825,2.639984148
Epdr1,0.00150223827335249,0.00415324699103335,NA,NA,NA,NA,1.5383395,NA,NA,1.5383395
Farsb,0.00149498347202559,0.00415324699103335,NA,NA,NA,NA,1.539878428,NA,NA,1.539878428
Fmr1,0.00242387937566641,0.00604133571662309,0.0335997015295464,0.0569734069414048,NA,1.216752903,1.263815654,1.501973853,1.216752903,1.3828947535
Gja1,0.0225277545087149,0.0332360144994044,0.258049290152207,0.300415591520479,0.325271271,0.218715833,0.60767356,0.476779313,0.271993552,0.5422264365
Gm10036,0.000996356435678525,0.00327801267338235,0.0385664207462749,0.0629985511666899,0.995520699,1.337557489,1.576377015,1.756867155,1.166539094,1.666622085
Gnb1,0.0202725670637755,0.0301795229139464,0.0359962465167405,0.0595833284247075,1.19181529,NA,0.587749018,NA,1.19181529,0.587749018
Hadha,0.0128875471787057,0.0213065478482119,0.328045748102834,0.365536690743158,-0.374635984,-0.832849517,0.770617647,0.780165476,-0.6037427505,0.7753915615
Hadhb,0.0313014524591865,0.043822033442861,0.346865110662408,0.383275480861648,-0.664997036,-0.460061021,NA,0.395226483,-0.5625290285,0.395226483
Hba-a2,0.00651582903155309,0.0123201594906952,0.330217464884695,0.366647149622864,-0.555502547,-0.642378113,1.037382222,NA,-0.59894033,1.037382222
Hbbt1,0.00297905908678981,0.00700078885395604,0.384583232260826,0.40812914444006,-0.422617097,-0.541911266,1.239275826,1.388128873,-0.4822641815,1.3137023495
Hist1h2bj,0.029526229651056,0.0417064209545656,0.170912906445517,0.219443731732516,0.422771219,0.603117152,1.328836464,-0.48501457,0.5129441855,0.421910947
Hist2h2ac,0.00649969129509208,0.0123201594906952,NA,NA,NA,NA,1.038295698,NA,NA,1.038295698
Hnrnpab,0.0108873463540646,0.0189520473570754,0.185527773025933,0.234350871190653,NA,0.468092091,1.012926174,0.671669027,0.468092091,0.8422976005
Hnrnpk,0.013910653618768,0.0224343384341895,0.0583066984038867,0.0905059199105107,0.881194737,1.134413697,0.614662735,0.87450759,1.007804217,0.7445851625
Hnrnpm,0.00230152348134563,0.0059156345731462,0.084293943529063,0.121669747207866,NA,0.853892246,1.117096566,1.683020169,0.853892246,1.4000583675
