	sham.pval	sham.fdr	sna.pval	sna.fdr	sna.log2Ratio.fwd	sna.log2Ratio.rev	sham.log2Ratio.fwd	sham.log2Ratio.rev	sna.mean	sham.mean	FisherP	FisherFDR
A0A0D4DAH6	0.000182260940598716	0.000999397490949628	5.46817144197264e-07	3.96760346487317e-06	-4.031810429	4.261455595	-3.983566438	6.450534948	-4.146633012	-5.217050693	2.39483418649082e-09	1.5925647340164e-08
A2J1C8	0.00073978867970057	0.00269922170756625	1.92917659459452e-08	2.14965391969104e-07	-3.395245456	5.895157181	NA	4.817981329	-4.6452013185	-4.817981329	3.70678437910995e-10	2.90001366130367e-09
A2MY50	0.000944023463279044	0.00320189401462686	7.89609927869194e-06	3.79012765377213e-05	-4.867794325	2.534833557	-6.122805453	3.365552572	-3.701313941	-4.7441790125	1.46953922437287e-07	7.2388413645034e-07
A2NW55	0.000341585092697234	0.00156085410413041	6.48665618658119e-07	4.59962893230303e-06	-4.119566797	NA	-5.043015562	NA	-4.119566797	-5.043015562	5.14723386246614e-09	3.18410280794417e-08
A2NW56	0.0183552520170146	0.0275747849935973	2.09837043073738e-05	8.96837773137072e-05	-2.29003891	4.759049279	-2.867225767	4.514753498	-3.5245440945	-3.6909896325	6.07383927401455e-06	1.94655571914201e-05
Actc1	0.535324881514782	0.599054034076066	0.591354183733329	0.59516937201548	NA	0.062674363	-1.438815635	NA	-0.062674363	-1.438815635	0.680688361196627	0.701794977047685
Actn4	0.00414878474174421	0.00892124300675715	NA	NA	NA	NA	1.199562421	NA	NA	1.199562421	NA	NA
Adrm1	4.06474333453944e-06	6.36809789077845e-05	NA	NA	NA	NA	3.083962184	NA	NA	3.083962184	NA	NA
Ahnak	4.30190711078446e-16	1.41532743944809e-13	1.47808117717284e-27	4.61161327277927e-25	8.313064415	-8.494024543	7.857483428	-5.722876963	8.403544479	6.7901801955	6.24165648700363e-41	1.66028062554296e-38
Ahnak2	7.71574633988435e-05	0.00050769610916439	0.0066982761513562	0.0158579574495174	1.663663412	-1.79816543	2.355495579	-2.410581651	1.730914421	2.383038615	7.99811360758351e-06	2.53273597573478e-05
Aimp2	0.0689292096863396	0.0840192939839299	0.242843198063868	0.289187319831782	0.3154503	-0.305039598	0.060462488	0.052276765	0.310244949	0.0040928615	0.0852017015126095	0.0977738830781281
Alb	0.00703400266549841	0.0130745021296552	0.614245280256813	0.614245280256813	-0.001645611	0.028710586	0.626672753	-1.39145567	-0.0151780985	1.0090642115	0.0278435221244959	0.0356075811784419
Aldoa	0.00234786280439276	0.00594189894342476	0.308663868484527	0.350136825384848	NA	-0.152211498	NA	-1.393463017	0.152211498	1.393463017	0.00596410484767787	0.00866913600810007
Anxa2	0.000237419697797749	0.0011835012208403	0.0077716060643546	0.0173195792291331	1.419808529	-1.956291542	2.155813984	-2.011529802	1.6880500355	2.083671893	2.62063403032219e-05	7.57705056593156e-05
Ap2a2	NA	NA	0.104000935798923	0.144214630974506	0.759752394	NA	NA	NA	0.759752394	NA	NA	NA
Ap2m1	0.00121181848786732	0.0036576906652142	0.0113166608596206	0.0226333217192413	NA	-1.576131437	1.606015753	NA	1.576131437	1.606015753	0.000167268014073033	0.000355946333947414
Apcs	0.0315269300945369	0.0439506779707739	1.15971521938682e-06	7.38430915201402e-06	-5.658064335	2.394239735	-4.788145494	2.117761525	-4.026152035	-3.4529535095	6.62663525487738e-07	2.5921837908785e-06
Arf3	NA	NA	0.262814737753969	0.303564781631326	0.019915368	-0.500585232	NA	NA	0.2602503	NA	NA	NA
Arglu1	0.911420504833511	0.930464117024924	0.350168264105798	0.384691895778201	0.16748639	0.046700587	0.013212111	0.28273632	0.0603929015	-0.1347621045	0.683649933789203	0.702126959026749
Atp1a1	0.0628079255162661	0.0779766320560435	0.256590132508589	0.299835660459475	NA	-0.275611663	0.152378145	0.045303168	0.275611663	0.0535374885	0.0826414868931045	0.0959940415439555
Atp2a2	NA	NA	0.120940387203171	0.163348055443244	NA	-0.688729409	NA	NA	0.688729409	NA	NA	NA
Atp5a1	0.037982961616693	0.0514254912423539	0.240801388027181	0.28803786323362	0.209266193	-0.421689207	0.417920008	-0.191722048	0.3154777	0.304821028	0.0520829784044839	0.0621258845542274
Atp5b	0.921646946237411	0.930464117024924	0.355645740202607	0.387977171130117	-0.022800686	-0.119996317	0.109026176	0.240619629	0.0485978155	-0.0657967265	0.693389739509418	0.707512881266167
Atp5c1	0.00315428798888114	0.0072839496232652	0.119855120592396	0.162586076629686	0.653426952	-0.732691935	1.235972083	-1.352584171	0.6930594435	1.294278127	0.00335732664631435	0.00510313650239781
Atp5f1	0.0591298658827591	0.0742508621199533	0.290657440320052	0.332179931794345	0.007626092	-0.379713889	0.030971642	-0.139188132	0.1936699905	0.085079887	0.0870262397902386	0.0993518445673969
Atp5o	0.0681787503093989	0.0836970479544487	0.311435661064767	0.350786737372589	0.392427338	0.10057404	0.049351959	0.029417547	0.145926649	0.009967206	0.103027868288908	0.115634653860124
C1qa	0.520704383855713	0.584681714295323	0.138733353312597	0.184190664823533	-1.351884344	0.880724702	-1.61625977	1.337368572	-1.116304523	-1.476814171	0.262067025071727	0.282226027000322
C1qb	0.470546645825083	0.533827056815353	0.0817955729967264	0.119253358761582	-1.368215867	1.355692898	-1.794607487	1.419269204	-1.3619543825	-1.6069383455	0.163861209277294	0.180001115461977
C1qc	0.550687484175431	0.614156550148192	0.0391405276425536	0.0636033574191496	-1.672542566	1.639602631	-1.348500497	1.449006639	-1.6560725985	-1.398753568	0.104261638999198	0.116527714175574
Calr	NA	NA	0.25589382797966	0.299835660459475	-0.772332847	NA	NA	NA	-0.772332847	NA	NA	NA
Camk2g	NA	NA	0.223992705497313	0.270874899671169	0.3822799	-0.336755587	NA	NA	0.3595177435	NA	NA	NA
Cat	0.911504819200614	0.930464117024924	NA	NA	NA	NA	-0.351792286	-0.08335521	NA	-0.134218538	NA	NA
Cct2	0.0132718074761422	0.021723505769407	NA	NA	NA	NA	0.763581543	NA	NA	0.763581543	NA	NA
Cct3	0.0175849732926311	0.0269090986663984	0.0666711667175968	0.100977689397525	NA	-0.953327348	NA	-0.647987305	0.953327348	0.647987305	0.00908465075149468	0.0125208139891067
Cct6a	0.00316925894501441	0.0072839496232652	0.117561382788961	0.160170966943912	0.70230292	NA	1.292663973	NA	0.70230292	1.292663973	0.00331414045290043	0.00506644460041101
Cct8	0.008844940368893	0.015988930666845	NA	NA	NA	NA	0.922730672	NA	NA	0.922730672	NA	NA
Cltc	0.9253250341892	0.930464117024924	0.569303160670114	0.579608782740602	-0.005869265	0.209765266	0.072037181	0.150689643	-0.1078172655	-0.039326231	0.864438083678439	0.864438083678439
Cnp	0.00134764638205686	0.00392367840439563	0.0144258149978889	0.0279556166418717	1.586500555	-1.415268349	1.729835517	-1.415576206	1.500884452	1.5727058615	0.000230338310660538	0.000475287943078817
Col1a2	0.0239043866242521	0.034798863714066	0.0321430943979119	0.0557146969563806	-1.981878622	1.473371314	0.418675713	-0.613917481	-1.727624968	0.516296597	0.00627847018278698	0.00897888746570612
Col6a1	0.035788344046313	0.0490598549634875	0.0164913770525527	0.0309958412072075	-1.967870938	1.938737446	0.332965663	NA	-1.953304192	0.332965663	0.00497835910432438	0.00735690845416826
Col6a3	0.00140267221918515	0.00397826862165443	NA	NA	NA	NA	1.56007905	NA	NA	1.56007905	NA	NA
CP3-10VL	0.00184330147853806	0.00497087038064773	1.06572410764208e-06	6.92720669967352e-06	-4.355970236	3.72377697	-4.619323739	4.448108044	-4.039873603	-4.5337158915	4.13478652612588e-08	2.29136086656143e-07
Cpne6	1.46848466425044e-05	0.000138037558439541	NA	NA	NA	NA	2.790813734	NA	NA	2.790813734	NA	NA
Cpsf1	7.07040673923346e-05	0.000474727309634246	5.12382485455846e-05	0.000205230630208537	2.628633634	-3.091725082	2.330787836	-2.480115955	2.860179358	2.4054518955	7.4034686600018e-08	3.86141698737349e-07
Cpsf2	0.0043709066259843	0.00915941579585245	NA	NA	NA	NA	1.181229795	NA	NA	1.181229795	NA	NA
Cpsf3	2.82121319922859e-06	5.02877647940235e-05	NA	NA	NA	NA	NA	-3.164237581	NA	3.164237581	NA	NA
Crmp1	7.19018347606619e-06	9.09834755240684e-05	4.1204153938206e-09	7.56217413454134e-08	4.499654578	-4.226746306	2.866650861	-3.045252778	4.363200442	2.9559518195	9.52496479350014e-13	1.33349507109002e-11
Cryab	0.662593661011255	0.726644381575676	0.0288485261266445	0.0502834645335926	-1.765866604	NA	NA	1.096599207	-1.765866604	-1.096599207	0.0947578522928482	0.107257824297437
Csde1	NA	NA	0.303227983688089	0.345281499674028	NA	-0.164609458	NA	NA	0.164609458	NA	NA	NA
Cstf3	0.0180309784032127	0.0272118894250321	NA	NA	NA	NA	0.63747114	NA	NA	0.63747114	NA	NA
Dars	0.83287256955988	0.892770931614293	0.535617263225311	0.547910118446875	-0.134477041	0.2174789	-0.467972357	0.595790071	-0.1759779705	-0.531881214	0.806198081986139	0.812305643213307
Dbt	0.197538674845343	0.229647434714197	0.000633179552009682	0.00191798077890311	NA	2.826253563	-3.39828447	1.421856128	-2.826253563	-2.410070299	0.00124909563378068	0.00210290783914976
Dcn	0.0136828533075847	0.0221756588088441	0.411137837620784	0.433361504519205	-0.427187924	NA	NA	-0.751270875	-0.427187924	0.751270875	0.0347682964499836	0.0434195627027964
Ddx3y	0.00338363536240098	0.00763727948255087	0.053786972156437	0.0847552288525674	1.039840265	NA	1.871883066	-0.668661666	1.039840265	1.270272366	0.00174925496150526	0.0028546123911681
Dhx9	0.491558601106983	0.555748384069407	0.034090081482545	0.0574924617435354	-0.934207131	2.47884241	-1.15261236	1.952184443	-1.7065247705	-1.5523984015	0.0852764694516005	0.0977738830781281
Dlat	0.000448438922503374	0.00180946562546855	1.74649813020439e-05	7.67869710510141e-05	-2.848504825	4.268284667	-4.692492202	5.237946061	-3.558394746	-4.9652191315	1.54016233508202e-07	7.44878511148759e-07
Dpysl2	0.00259320468865702	0.00627326722476588	0.0782275250370591	0.115127300997936	0.666574824	-1.105752638	1.186246986	-1.534537424	0.886163731	1.360392205	0.00192777732856662	0.00305231410356382
Dsp	0.00442521842637426	0.00921453710301982	0.0131383122655048	0.0256197089177343	-2.025147677	NA	1.937344392	-0.416403897	-2.025147677	1.1768741445	0.000625158498020969	0.00113123918689509
Dync1h1	0.0280007214761494	0.0400532059376224	0.371308645494639	0.396740744501122	0.015212085	NA	0.096396804	-0.79545859	0.015212085	0.445927697	0.057871765110967	0.0687227210692733
Dynll2	0.870339001313388	0.920547488966982	0.129911349269582	0.173958544944676	-2.475856065	-0.17799597	-0.761971366	-0.034160317	-1.1489300475	-0.3639055245	0.359527400272749	0.384073447680929
Eef1a1	0.00899904830346441	0.0161786168952994	0.570320180453092	0.579608782740602	-1.189614482	-0.978122343	0.881821213	-0.95042499	-0.1057460695	0.9161231015	0.0321910239653817	0.040390624409394
Eef1a2	0.0086834448994035	0.0158714076216875	0.101756909766491	0.141732838603326	0.601030869	-0.938514098	0.99653337	-0.862994948	0.7697724835	0.929764159	0.00709664242794986	0.0100409940735886
