id	Protein.IDs	Majority.protein.IDs	Ratio.H.L.normalized.SNA vs Sham_Rep1	Ratio.H.L.variability.....SNA vs Sham_Rep1	Ratio.H.L.normalized.SNA vs Sham_Rep2	Ratio.H.L.variability.....SNA vs Sham_Rep2	Ratio.H.L.normalized.SNA vs Sham_Rep3	Ratio.H.L.variability.....SNA vs Sham_Rep3	Ratio.H.L.normalized.DCA vs Lam_Rep1	Ratio.H.L.variability.....DCA vs Lam_Rep1	Ratio.H.L.normalized.DCA vs Lam_Rep2	Ratio.H.L.variability.....DCA vs Lam_Rep2	Ratio.H.L.normalized.DCA vs Lam_Rep3	Ratio.H.L.normalized.Central vs Peripheral_Rep1	Ratio.H.L.variability.....Central vs Peripheral_Rep1	Ratio.H.L.normalized.Central vs Peripheral_Rep2	Ratio.H.L.variability.....Central vs Peripheral_Rep2	Ratio.H.L.normalized.Central vs Peripheral_Rep3	Ratio.H.L.variability.....Central vs Peripheral_Rep3	Intensity.L.SNA vs Sham_Rep1	Intensity.H.SNA vs Sham_Rep1	Intensity.L.SNA vs Sham_Rep2	Intensity.H.SNA vs Sham_Rep2	Intensity.L.SNA vs Sham_Rep3	Intensity.H.SNA vs Sham_Rep3	Intensity.L.DCA vs Lam_Rep1	Intensity.H.DCA vs Lam_Rep1	Intensity.L.DCA vs Lam_Rep2	Intensity.H.DCA vs Lam_Rep2	Intensity.L.DCA vs Lam_Rep3	Intensity.H.DCA vs Lam_Rep3	Intensity.L.Central vs Peripheral_Rep1	Intensity.H.Central vs Peripheral_Rep1	Intensity.L.Central vs Peripheral_Rep2	Intensity.H.Central vs Peripheral_Rep2	Intensity.L.Central vs Peripheral_Rep3	Intensity.H.Central vs Peripheral_Rep3	Description	external_gene_names	label	Log2.Ratio.H.L.normalized.SNA vs Sham_Rep1	Log2.Ratio.H.L.normalized.SNA vs Sham_Rep2	Log2.Ratio.H.L.normalized.SNA vs Sham_Rep3	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep1	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep2	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep3	Log2.Ratio.H.L.normalized.Central vs Peripheral_Rep1	Log2.Ratio.H.L.normalized.Central vs Peripheral_Rep2	Log2.Ratio.H.L.normalized.Central vs Peripheral_Rep3
60	ENSMUSP00000000001	ENSMUSP00000000001	0.7366	15.124	0.9753	11.47	0.9957	9.3252	NA	NA	2.2475	122.91	1.0537	NA	NA	0.25948	35.088	0.35665	21.411	176560000	177430000	34092000	51880000	135870000	118950000	0	0	42635000	87036000	47417000	27421000	40044000	14590000	195320000	104410000	151450000	61887000	"guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]"	Gnai3	Gnai3	-0.441046698	-0.036082038	-0.006216965	NA	1.168321116	0.075464174	NA	-1.946304751	-1.487419121
61	ENSMUSP00000000049;ENSMUSP00000114214;ENSMUSP00000115516;CON__P17690	ENSMUSP00000000049	1.514	31.712	2.7457	13.855	1.5763	12.983	1.1712	15.805	1.1027	84.422	1.0679	1.6812	5.3555	1.1619	26.345	0.9368	31.366	1180600000	1924200000	420530000	2.21E+09	848730000	1460200000	107990000	91697000	258750000	591120000	346540000	162550000	248150000	250270000	983310000	933770000	1262200000	793660000	apolipoprotein H [Source:MGI Symbol;Acc:MGI:88058];apolipoprotein H [Source:MGI Symbol;Acc:MGI:88058];apolipoprotein H [Source:MGI Symbol;Acc:MGI:88058]	Apoh;Apoh;Apoh	Apoh	0.598365205	1.457174003	0.656542133	0.227987459	0.141040345	0.094776557	0.749491362	0.216485907	-0.094187019
62	ENSMUSP00000000058;ENSMUSP00000111119;ENSMUSP00000111122	ENSMUSP00000000058;ENSMUSP00000111119	0.67726	16.598	0.87777	56.377	1.367	13.405	0.75266	14.519	0.83652	5.0852	0.65488	1.091	23.749	1.6077	14.79	1.2067	12.501	122220000	108870000	209790000	437700000	209060000	314850000	112900000	80990000	64009000	80440000	129050000	68245000	146790000	95228000	142120000	179460000	149780000	131560000	caveolin 2 [Source:MGI Symbol;Acc:MGI:107571];caveolin 2 [Source:MGI Symbol;Acc:MGI:107571];caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]	Cav2;Cav2;Cav2	Cav2	-0.562218304	-0.188085132	0.451013243	-0.409929793	-0.257528061	-0.610697523	0.125651102	0.684998222	0.271067049
65	ENSMUSP00000000137	ENSMUSP00000000137	0.53066	131.8	0.97854	11.899	0.96897	20.095	1.1526	37.817	3.3041	119.84	0.78304	0.90378	37.068	0.82104	145.82	1.0684	45.889	2655900000	2022400000	492910000	823330000	1335200000	1539300000	294130000	441250000	658950000	992850000	1323100000	1059100000	604680000	465430000	2211500000	1369700000	1168800000	924010000	ARP2 actin-related protein 2 [Source:MGI Symbol;Acc:MGI:1913963]	Actr2	Actr2	-0.914140289	-0.031297269	-0.045476095	0.204891925	1.724257351	-0.352842088	-0.145956463	-0.284475585	0.095451881
67	ENSMUSP00000000153	ENSMUSP00000000153	0.31488	25.116	NA	NA	NA	NA	1.6385	10.541	2.9701	105.46	1.0141	3.3498	84.841	3.2098	191.53	0.82474	54.648	56200000	22927000	0	0	0	0	28130000	47105000	96910000	112500000	41772000	30136000	5866500	18875000	25288000	33154000	34718000	20168000	"guanine nucleotide binding protein, alpha 12 [Source:MGI Symbol;Acc:MGI:95767]"	Gna12	Gna12	-1.667125969	NA	NA	0.712375673	1.570511506	0.020199923	1.744074962	1.682483407	-0.277988715
68	ENSMUSP00000000199;ENSMUSP00000142269	ENSMUSP00000000199	1.1247	15.919	1.0676	8.8468	0.76173	19.202	NA	NA	1.3918	3.1058	NA	0.54017	43.945	1.0047	18.043	0.90296	4.2751	76839000	154220000	34836000	86368000	133460000	113240000	9728200	7041000	13349000	24598000	18870000	6762900	81682000	47330000	27339000	25967000	18715000	10911000	neuronal calcium sensor 1 [Source:MGI Symbol;Acc:MGI:109166];neuronal calcium sensor 1 [Source:MGI Symbol;Acc:MGI:109166]	Ncs1;Ncs1	Ncs1	0.169540231	0.094371211	-0.392648379	NA	0.476951913	NA	-0.888514577	0.006764782	-0.147266015
69	ENSMUSP00000000219;ENSMUSP00000101549;ENSMUSP00000122876;ENSMUSP00000115434;ENSMUSP00000123661;ENSMUSP00000122162	ENSMUSP00000000219;ENSMUSP00000101549;ENSMUSP00000122876	1.7205	16.223	2.1444	22.89	1.4802	16.17	NA	NA	NA	NA	NA	0.18614	51.533	0.16605	67.281	0.19745	137.66	722180000	1339700000	637150000	1769600000	266230000	456670000	0	0	0	0	0	0	303330000	27989000	785860000	47377000	94586000	6617400	tyrosine hydroxylase [Source:MGI Symbol;Acc:MGI:98735];tyrosine hydroxylase [Source:MGI Symbol;Acc:MGI:98735];tyrosine hydroxylase [Source:MGI Symbol;Acc:MGI:98735];tyrosine hydroxylase [Source:MGI Symbol;Acc:MGI:98735];tyrosine hydroxylase [Source:MGI Symbol;Acc:MGI:98735];tyrosine hydroxylase [Source:MGI Symbol;Acc:MGI:98735]	Th;Th;Th;Th;Th;Th	Th	0.782827892	1.10057404	0.565792121	NA	NA	NA	-2.425539983	-2.590310372	-2.340440727
70	ENSMUSP00000000260;ENSMUSP00000120825	ENSMUSP00000000260;ENSMUSP00000120825	0.97653	23.706	1.0136	38.975	0.65083	35.551	0.67222	16.082	1.3754	63.367	1.0881	0.20588	20.759	0.033789	138.58	0.053202	30.142	215130000	251530000	65863000	94250000	191430000	116450000	21327000	18259000	40570000	76567000	234740000	136850000	131790000	5071300	6.20E+08	135080000	511210000	56583000	guanosine monophosphate reductase [Source:MGI Symbol;Acc:MGI:1913605];guanosine monophosphate reductase [Source:MGI Symbol;Acc:MGI:1913605]	Gmpr;Gmpr	Gmpr	-0.034263729	0.01948843	-0.619647341	-0.572994628	0.459851251	0.121811151	-2.280124407	-4.887302536	-4.232375708
72	ENSMUSP00000000287	ENSMUSP00000000287	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.55489	5.3018	NA	NA	6931800	13203000	0	0	0	0	0	0	0	0	0	0	0	0	41478000	16243000	14721000	7701100	serine carboxypeptidase 1 [Source:MGI Symbol;Acc:MGI:1921867]	Scpep1	Scpep1	NA	NA	NA	NA	NA	NA	NA	-0.849726291	NA
73	ENSMUSP00000000299;ENSMUSP00000137734;ENSMUSP00000118191	ENSMUSP00000000299;ENSMUSP00000137734	NA	NA	0.76333	71.949	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	22855000	31855000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	integrin beta 2 [Source:MGI Symbol;Acc:MGI:96611];integrin beta 2 [Source:MGI Symbol;Acc:MGI:96611];integrin beta 2 [Source:MGI Symbol;Acc:MGI:96611]	Itgb2;Itgb2;Itgb2	Itgb2	NA	-0.389621202	NA	NA	NA	NA	NA	NA	NA
